pattern_id,question_idx,question,answer,ground_truth,llm_judge,has_citations,is_multilingual
Pattern4,0,"Who owns Romano's Bakery, and how is this person related to Isabella Romano?",Rosa Romano owns Romano's Bakery. She is Isabella Romano's grandmother [1].,Rosa Romano owns/founded Romano's Family Bakery in 1963. Isabella Romano is her granddaughter who lives with her.,0.8,True,False
Pattern4,1,"Dr. Okafor treated a patient in the emergency department. What was the patient's condition, and what is Dr. Okafor's relationship to the patient?","According to Document 1: MEDICAL RECORD EXCERPT, Dr. Okafor treated his son, Emmanuel Okafor, in the emergency department. Emmanuel's condition was acute onset abdominal pain, which was suspected to be appendicitis. Dr. Okafor is Emmanuel's father and a pediatrician. 

Source: [1] Document 1: MEDICAL RECORD EXCERPT",Dr. Kwame Okafor (pediatrician) treated Emmanuel Okafor for acute appendicitis. Emmanuel is Dr. Okafor's son.,1.0,True,False
Pattern4,2,There are two bakeries mentioned in the documents. What are their names and who runs them ?,"The two bakeries mentioned in the documents are:

1. Al-Rashid Mediterranean Bakery, owned by Ahmed Al-Rashid [5].
2. Romano's Family Bakery, founded by Rosa Romano and now run by her granddaughter Isabella Romano [6].

These bakeries are located in Historic Downtown and have been serving the community for decades. They have also been involved in community events and have a strong connection with the local residents. [1, 3, 4, 6]",Al-Rashid Mediterranean Bakery (run by Ahmed Al-Rashid) and Romano's Family Bakery (founded by Rosa Romano in 1963),0.8,True,False
Pattern4,3,"What significant infrastructure event happened in Millbrook in 1963, and how does it relate to current events in 2024?","According to Document 1, Bridge 7 was constructed in 1963. This event is significant because, in 2024, the bridge is facing its most significant structural challenge since its construction. The current crisis has united the community, with various stakeholders working together to minimize disruption and find a solution. Document 1 also mentions that Isabella Romano's grandmother, Rosa Romano, remembers when the original bridge was built in 1963, highlighting the long history of the bridge and its importance to the community [1].

Document 3 further emphasizes the connection between the past and present, as Isabella Romano mentions that her grandmother remembers the original bridge being built in 1963, and Dr. Vasquez notes that the community has come together to support each other during the current crisis [3].

Document 5 provides a detailed analysis of the current situation, highlighting the need for immediate action to stabilize the bridge and prevent catastrophic failure [5].

Overall, the 1963 construction of Bridge 7 serves as a reminder of the bridge's significance to the community and highlights the importance of addressing the current crisis to ensure the bridge's continued safety and functionality [1, 3, 5].","Bridge 7 was constructed in 1963 (same year Rosa Romano founded her bakery). In 2024, this bridge requires major structural repairs due to deterioration.",0.8,True,False
Pattern4,4,"How long has Ahmed Al-Rashid been operating his bakery, and what was his career before opening it?","According to Document 2, Ahmed Al-Rashid has been operating his bakery for 30 years. He initially worked in construction before opening the bakery in 1994. [1]

Before opening the bakery, Ahmed Al-Rashid worked in construction. [1]

This information provides insight into Ahmed's background and career path before becoming a successful business owner in Millbrook.","Al-Rashid has been operating his bakery for 30 years (opened 1994, document dated 2024). Before that, he worked in construction after immigrating in 1989.",0.8,True,False
Pattern4,5,"When did Dr. Elena Vasquez assume her current role as Hospital Director, and how long had she been at the hospital before that promotion?","According to Document 1, Dr. Elena Vasquez assumed her current role as Hospital Director in January 2020. She had been at the hospital since 2006, when she joined as an attending cardiologist. This means she was at the hospital for 14 years before her promotion to Hospital Director. [1]","She became Hospital Director in January 2020. She had been at Millbrook General since 2006, so 14 years before her promotion",1.0,True,False
Pattern4,6,"What is the current load capacity of Bridge 7, and are there any restrictions in place?","According to Document 1: TECHNICAL ENGINEERING REPORT, the current load-bearing capacity of Bridge 7 has degraded to 65% of its original design specifications [1]. This is due to foundation settlement and material fatigue. Additionally, Document 1 states that the current load rating is 25 tons, which is reduced from the original 40 tons [1]. Furthermore, Document 6: PERSONAL DIARY ENTRY mentions that Dr. Vasquez is worried about ambulance routes to the hospital due to the bridge's reduced capacity [9]. However, Document 1 does not explicitly mention any load restrictions in place, but it does recommend implementing load restrictions as part of the emergency stabilization phase [1].","The current load rating is 25 tons (reduced from original 40 tons), but there are temporary 15-ton restrictions due to safety concerns.",0.8,True,False
Pattern4,7,"How much time will be added to emergency response times due to the bridge construction, and how has this actually affected hospital operations ?","According to Document 1, Dr. Vasquez expressed concerns about emergency vehicle access to the hospital during construction, stating that four additional minutes could be critical for patients with cardiac conditions [1]. This would add 4.7 minutes to response times via alternative routes [1].

Document 2 mentions that Dr. Vasquez praised the community response, stating that response time increases have been minimal thanks to proactive routing strategies [2]. This suggests that the hospital has been able to mitigate the impact of the bridge construction on emergency response times.

Document 9 also mentions that Rebecca Martinez, who manages emergency services at the hospital, confirmed that response time increases have been minimal thanks to proactive routing strategies [3].

Overall, while the bridge construction may have added some time to emergency response times, the hospital has been able to minimize this impact through proactive routing strategies.

References:
[1] Document 1: URGENT - Bridge 7 Structural Assessment Update
[2] Document 2: CONVERSATION TRANSCRIPT
[3] Document 9: THE MILLBROOK HERALD","The engineering report projects +4.7 minutes average response time, but the newspaper reports actual increases have been 'minimal' due to proactive routing strategies.",0.8,True,False
Pattern4,8,What is the projected economic impact of the bridge construction on local businesses?,"According to Document 1, the economic impact analysis indicates that the daily traffic volume is 12,400 vehicles, with 18% being commercial vehicles. The estimated economic loss per day of closure is $47,000, based on detour costs and business impact [1]. Additionally, Ahmed Al-Rashid mentioned that reduced foot traffic could affect businesses by 25-35% during construction [1].","Two different measures are given: $47,000 per day economic loss (from detour costs), and 25-35% reduction in foot traffic for Historic Downtown businesses.",1.0,True,False
Pattern4,9,What happened to Isabella Romano's parents?,"Unfortunately, I do not have enough information to answer the question about what happened to Isabella Romano's parents. The provided documents do not mention the cause or circumstances of their passing.",The documents indicate Isabella's parents are deceased but do not provide details about what happened to them.,1.0,False,False
Pattern4,10,Why did Sofia Okafor move from Texas to Millbrook to start her engineering firm?,I do not have enough information to answer why Sofia Okafor moved from Texas to Millbrook to start her engineering firm. The provided documents do not mention Sofia Okafor's previous location or reason for moving to Millbrook.,"The documents indicate Sofia has a Texas PE license and founded her firm in Millbrook in 2018, but do not explain the reason for relocating.",0.8,False,False
Pattern4,11,What architectural projects has Miguel Vasquez (Elena's husband) worked on in Millbrook?,"Unfortunately, I do not have enough information to answer your question. The provided documents do not mention any architectural projects that Miguel Vasquez has worked on in Millbrook.","Miguel Vasquez is identified as an architect and Elena's husband, but no specific projects in Millbrook are mentioned in the documents.",1.0,False,False
Pattern4,12,What does Sofia Okafor's PE license enable her to do professionally?,"Sofia Okafor's PE (Professional Engineer) license enables her to practice engineering professionally. According to Document 1, Sofia holds PE licenses in Texas (#89472) and California (#67821). This indicates that she has met the necessary qualifications and passed the required exams to become a licensed professional engineer in these states. As a licensed PE, Sofia can sign and seal engineering documents, provide expert testimony, and take on leadership roles in engineering projects. Her PE license also demonstrates her expertise and commitment to adhering to professional engineering standards and ethics. [1]",Sofia's PE (Professional Engineer) license #89472 enables her to practice engineering and stamp engineering documents in Texas (she also has a California PE license #67821).,0.8,True,False
Pattern4,13,"In the medical record, what does 'attending physician' refer to, and how does this differ from meeting attendance mentioned elsewhere?","In the medical record, the ""attending physician"" refers to the doctor who is primarily responsible for the patient's care and treatment. This is Dr. Kwame Okafor, who is listed as the attending physician for Emmanuel Okafor's case [1].

This differs from meeting attendance mentioned elsewhere, such as the city council meeting, where Councilman Marcus Chen is listed as attending [2]. In this context, attendance refers to the act of participating in a meeting, whereas the attending physician refers to the medical professional responsible for a patient's care.

It's worth noting that the term ""attending"" in medical contexts often implies a level of responsibility and authority, whereas in other contexts, it may simply mean participating or being present [3].","Attending physician refers to Dr. Kwame Okafor's role as the supervising doctor responsible for patient care, not meeting attendance. This is standard medical terminology.",0.8,True,False
Pattern4,14,What type of 'code-switching' is mentioned in the documents?,"Code-switching is mentioned in the documents as a phenomenon where individuals switch between languages in a single conversation or interaction. In Document 4, Marcus Chen switches to basic Mandarin with Isabella Romano, saying *[switching to basic Mandarin with Isabella]* *[you] understand the medical concerns?* [1]

This is an example of code-switching, where Marcus Chen uses Mandarin to communicate with Isabella, who is fluent in Italian and Spanish, but also speaks some English. This code-switching is likely due to the fact that Isabella is more comfortable speaking in her native language, and Marcus is able to communicate effectively with her in Mandarin. [1]

Additionally, in Document 8, Dr. Elena Vasquez mentions that she is fluent in Spanish, English, and Portuguese, and that her children, Carmen and Diego, are likely to be bilingual as well. [2] This suggests that code-switching may be a common practice in the Vasquez household, where multiple languages are spoken and used in everyday conversation. [2]

Overall, the documents suggest that code-switching is a common phenomenon in the community, particularly among individuals who are bilingual or multilingual. [1, 2]","Linguistic code-switching - the practice of alternating between languages within conversations, as shown in the bakery conversation transcript.",0.8,True,False
Pattern4,15,"How are Carmen Vasquez and Emmanuel Okafor connected, and trace the path of their relationship through their families' professional connections?","Carmen Vasquez and Emmanuel Okafor are connected through their families' professional connections. Carmen's mother, Dr. Elena Vasquez, is the director of Millbrook General Hospital, and her father, Miguel Vasquez, is an architect. Emmanuel's father, Dr. Kwame Okafor, is a pediatrician and works with Dr. Vasquez at the hospital [2, 3]. 

Emmanuel's mother, Sofia Okafor, is a principal civil engineer and has been working on the Millbrook Bridge rehabilitation project [3, 9]. Carmen and Emmanuel have become friends, and their families have become close, with Sofia and Dr. Vasquez working together on the bridge project and hospital access issues [4, 5, 9].",Carmen Vasquez (daughter of Dr. Elena Vasquez) is friends with Emmanuel Okafor (son of Dr. Kwame Okafor). Their mothers work together at Millbrook General Hospital - Elena as Hospital Director and Kwame as a pediatrician.,0.4,False,False
